id,title,module,opportunity_type,description,benefit_amount,benefit_type,min_age,max_age,age_relaxation,income_max,income_min,state,district,category,gender,qualification,cgpa_required,experience_required,business_stage,startup_registered,land_size_min,land_size_max,crop_type,land_required,land_owner_required,required_documents,required_skills,required_followup_questions,deadline,renewal_frequency,official_link,source_name,source_type,priority_score,verification_status,last_updated,application_count,readiness_score_formula,eligibility_explanation,similarity_score,profile_match_percentage,notification_trigger,created_at,updated_at
1,NSP (National Scholarship Portal),students,scholarship,Central government scholarship portal for all student scholarships,10000.0,annual,5,35,,500000.0,0.0,Telangana,Hyderabad,any,any,10th_pass,6.0,,,,,,False,False,"[""Aadhaar Card"", ""Income Certificate"", ""Bank Account"", ""Marksheets"", ""Domicile Certificate""]","[]","[""What is your current education level?"", ""What is your annual family income?"", ""What is your CGPA?"", ""What category do you belong?""]","2026-03-31","annual","https://scholarships.gov.in","Ministry of Education, GOI","central_government",99,verified,2026-06-01,1500000,"(cgpa*0.5) + (income*0.3) + (category*0.2)","Student with CGPA>=6.0 and income<500k",0.95,95.0,"30_days_before_deadline","2026-01-01","2026-06-01"
2,PM-YASASVI,students,scholarship,Scholarship for talented rural students for entrance exams,25000.0,one_time,10,25,,200000.0,0.0,Telangana,,obc,any,12th_pass,7.0,,,,,,False,False,"[""Aadhaar Card"", ""Income Certificate"", ""12th Marksheets"", ""Rural Domicile"", ""Bank Account""]","[]","[""Are you from rural area?"", ""What is your 12th score?"", ""What is family income?""]","2026-05-31","once","https://pmyasasvi.gov.in","Ministry of Education, GOI","central_government",96,verified,2026-06-01,85000,"(12th_score*0.6) + (income*0.4)","Rural student with 12th score>=70% and income<200k",0.91,91.0,"30_days_before_deadline","2026-01-01","2026-06-01"
3,AICTE Scholarship,students,scholarship,Scholarship for AICTE affiliated engineering students,12000.0,annual,17,30,,800000.0,0.0,Telangana,Hyderabad,any,any,btech,7.5,,,,,,False,False,"[""Aadhaar Card"", ""Income Certificate"", ""BTech Admission Proof"", ""Bank Account"", ""Marksheets""]","[]","[""Are you BTech student?"", ""What is your CGPA?"", ""What is family income?""]","2026-04-30","annual","https://aicte.gov.in/scholarship","AICTE, Ministry of Education","central_government",94,verified,2026-06-01,450000,"(cgpa*0.7) + (income*0.3)","BTech student with CGPA>=7.5 and income<800k",0.89,89.0,"30_days_before_deadline","2026-01-01","2026-06-01"
4,Smart India Hackathon,students,hackathon,National hackathon for students with prize money and recognition,100000.0,prize_money,16,35,,1000000.0,0.0,Telangana,Hyderabad,any,any,any,7.0,,,,,,False,False,"[""Aadhaar Card"", ""Student ID"", ""Team Registration"", ""Project Proposal""]","[""Python"", ""Web Development"", ""AI/ML"", ""Problem Solving""]","[""Are you currently studying?"", ""Do you have a team?"", ""What is your tech stack?"", ""What problem do you want to solve?""]","2026-09-30","annual","https://www.sih.gov.in","AICTE, Ministry of Education","central_government",92,verified,2026-06-01,320000,"(team_size*0.4) + (project_quality*0.4) + (cgpa*0.2)","Student with team and project proposal, CGPA>=7.0",0.87,87.0,"30_days_before_deadline","2026-01-01","2026-06-01"
5,GSoC (Google Summer of Code),students,fellowship,Google fellowship for open source development,100000.0,fellowship,16,35,,2000000.0,0.0,Telangana,Hyderabad,any,any,any,7.5,,,,,,False,False,"[""Aadhaar Card"", ""Student ID"", ""GitHub Profile"", ""Open Source Contribution"", ""Email Verification""]","[""Python"", ""C/C++"", ""Open Source"", ""Git""]","[""Are you studying?"", ""Do you have GitHub profile?"", ""What is your coding experience?"", ""Which language do you prefer?""]","2026-04-15","annual","https://summerofcode.withgoogle.com","Google Inc.","international",90,verified,2026-06-01,180000,"(github_contributions*0.5) + (coding_experience*0.3) + (cgpa*0.2)","Student with GitHub profile and coding experience, CGPA>=7.5",0.85,85.0,"7_days_before_deadline","2026-01-01","2026-06-01"
6,Telangana State Scholarship,students,scholarship,State scholarship for Telangana students,15000.0,annual,5,35,,500000.0,0.0,Telangana,Hyderabad,any,any,any,6.5,,,,,,False,False,"[""Aadhaar Card"", ""Domicile Certificate"", ""Income Certificate"", ""Bank Account"", ""Admission Proof""]","[]","[""Are you Telangana resident?"", ""What is your education level?"", ""What is family income?"", ""What is CGPA?""]","2026-06-30","annual","https://telangana.gov.in/scholarship","Government of Telangana","state_government",95,verified,2026-06-01,620000,"(cgpa*0.5) + (income*0.3) + (domicile*0.2)","Telangana student with CGPA>=6.5 and income<500k",0.93,93.0,"30_days_before_deadline","2026-01-01","2026-06-01"
7,Post-Matric Scholarship SC,students,scholarship,Post-matric scholarship for SC students,20000.0,annual,18,45,,1000000.0,0.0,Telangana,,sc,any,any,6.0,,,,,,False,False,"[""Aadhaar Card"", ""SC Certificate"", ""Income Certificate"", ""Bank Account"", ""Admission Proof"", ""Marksheets""]","[]","[""Are you SC category?"", ""What is your education level?"", ""What is family income?""]","2026-05-31","annual","https://scholarships.gov.in/sc","Ministry of Social Justice, GOI","central_government",93,verified,2026-06-01,550000,"(category*0.7) + (income*0.3)","SC student with income<1000k",0.90,90.0,"30_days_before_deadline","2026-01-01","2026-06-01"
8,Post-Matric Scholarship ST,students,scholarship,Post-matric scholarship for ST students,22000.0,annual,18,45,,1000000.0,0.0,Telangana,,st,any,any,6.0,,,,,,False,False,"[""Aadhaar Card"", ""ST Certificate"", ""Income Certificate"", ""Bank Account"", ""Admission Proof"", ""Marksheets""]","[]","[""Are you ST category?"", ""What is your education level?"", ""What is family income?""]","2026-05-31","annual","https://scholarships.gov.in/st","Ministry of Tribal Affairs, GOI","central_government",93,verified,2026-06-01,480000,"(category*0.7) + (income*0.3)","ST student with income<1000k",0.90,90.0,"30_days_before_deadline","2026-01-01","2026-06-01"
9,Post-Matric Scholarship OBC,students,scholarship,Post-matric scholarship for OBC students,18000.0,annual,18,45,,1000000.0,0.0,Telangana,,obc,any,any,6.0,,,,,,False,False,"[""Aadhaar Card"", ""OBC Certificate"", ""Income Certificate"", ""Bank Account"", ""Admission Proof"", ""Marksheets""]","[]","[""Are you OBC category?"", ""What is your education level?"", ""What is family income?""]","2026-05-31","annual","https://scholarships.gov.in/obc","Ministry of Social Justice, GOI","central_government",91,verified,2026-06-01,520000,"(category*0.7) + (income*0.3)","OBC student with income<1000k",0.88,88.0,"30_days_before_deadline","2026-01-01","2026-06-01"
10,MSME Scholarship,students,scholarship,Scholarship for students in MSME-related courses,25000.0,annual,18,35,,500000.0,0.0,Telangana,Hyderabad,any,any,diploma,7.0,,,,,,False,False,"[""Aadhaar Card"", ""Income Certificate"", ""Diploma Admission"", ""Bank Account"", ""Marksheets""]","[]","[""Are you studying MSME course?"", ""What is your CGPA?"", ""What is family income?""]","2026-04-30","annual","https://msme.gov.in/scholarship","Ministry of MSME, GOI","central_government",87,verified,2026-06-01,95000,"(cgpa*0.6) + (income*0.3) + (course_type*0.1)","Student in MSME course with CGPA>=7.0 and income<500k",0.82,82.0,"30_days_before_deadline","2026-01-01","2026-06-01"
