id,title,module,opportunity_type,description,benefit_amount,benefit_type,min_age,max_age,age_relaxation,income_max,income_min,state,district,category,gender,qualification,cgpa_required,experience_required,business_stage,startup_registered,land_size_min,land_size_max,crop_type,land_required,land_owner_required,required_documents,required_skills,required_followup_questions,deadline,renewal_frequency,official_link,source_name,source_type,priority_score,verification_status,last_updated,application_count,readiness_score_formula,eligibility_explanation,similarity_score,profile_match_percentage,notification_trigger,created_at,updated_at
1,PM-KISAN,farmers,financial_assistance,Annual financial support of Rs.5000 to farmer families for purchase of agricultural inputs and other needs,5000.0,annual_transfer,0,99,,100000.0,0.0,Telangana,,obc,any,,,,,,,,,0.5,5.0,rice,True,True,"[""Aadhaar Card"", ""Land Ownership Certificate"", ""Bank Account Passbook"", ""Mobile Number""]","[]","[""Do you own agricultural land?"", ""What is your total land area in acres?"", ""What is your annual income?"", ""Are you a loan beneficiary from any bank?""]","2026-03-31","annual","https://pmkisan.gov.in","Ministry of Agriculture, GOI","central_government",98,verified,2026-06-01,500000,"(land_area*0.5) + (income*0.3) + (category*0.2)","Land owner with income <100k and not a loan beneficiary",0.92,92.0,"30_days_before_deadline","2026-01-01","2026-06-01"
2,PMFBY (Pradhan Mantri Fasal Bima Yojana),farmers,insurance,Crop insurance scheme providing coverage against natural calamities,300.0,annual_insurance,0,99,,100000.0,0.0,Telangana,,any,any,,,,,,,,,0.5,10.0,rice,True,True,"[""Aadhaar Card"", ""Land Records"", ""Bank Account"", ""Kcc Loan Details (if applicable)""]","[]","[""Do you have crop insurance before?"", ""What crops are you cultivating?"", ""What is your land area?""]","2026-06-30","annual","https://pmfasu.in","Ministry of Agriculture, GOI","central_government",95,verified,2026-06-01,250000,"(land_area*0.6) + (crop_risk*0.4)","Farmer cultivating crops with land>=0.5 acres",0.88,88.0,"15_days_before_deadline","2026-01-01","2026-06-01"
3,PM KUSUM,farmers,financial_support,Solar pump installation support for farmers,50000.0,subsidy,18,65,5_years_sc_st,100000.0,0.0,Telangana,,obc,any,,,,,,,,,1.0,10.0,,True,True,"[""Aadhaar Card"", ""Land Ownership Proof"", ""Electricity Connection Proof"", ""Bank Account"", ""Income Certificate""]","[]","[""Do you have electricity connection for farm?"", ""What is your land area?"", ""Do you own a solar pump already?""]","2026-12-31","once","https://pmkusum.gov.in","Ministry of New & Renewable Energy","central_government",93,verified,2026-06-01,150000,"(land_area*0.5) + (income*0.3) + (electricity*0.2)","Land owner with electricity connection and income<100k",0.85,85.0,"30_days_before_deadline","2026-01-01","2026-06-01"
4,Rythu Bandhu,farmers,financial_assistance,Telangana state scheme providing Rs.10000 per acre for investment support,10000.0,seasonal_transfer,0,99,,100000.0,0.0,Telangana,,any,any,,,,,,,,,0.5,20.0,,True,True,"[""Aadhaar Card"", ""Land Patta"", ""Bank Passbook"", ""Mobile Number""]","[]","[""Are you a Telangana resident?"", ""Do you own agricultural land?"", ""What is your land area?""]","2026-07-15","seasonal","https://telangana.gov.in/rythu-bandhu","Government of Telangana","state_government",97,verified,2026-06-01,300000,"(land_area*0.7) + (state_residence*0.3)","Telangana resident with land>=0.5 acres",0.95,95.0,"7_days_before_deadline","2026-01-01","2026-06-01"
5,Rythu Bima,farmers,insurance,Voluntary term insurance for farmers up to age 70,500000.0,lump_sum_insurance,18,70,,100000.0,0.0,Telangana,,any,any,,,,,,,,,0.5,20.0,,True,True,"[""Aadhaar Card"", ""Land Ownership Proof"", ""Age Certificate"", ""Bank Account""]","[]","[""What is your age?"", ""Do you own agricultural land?"", ""Are you already insured?""]","2026-09-30","annual","https://telangana.gov.in/rythu-bima","Government of Telangana","state_government",94,verified,2026-06-01,200000,"(age*0.4) + (land_area*0.4) + (income*0.2)","Farmer aged 18-70 with land ownership",0.90,90.0,"30_days_before_deadline","2026-01-01","2026-06-01"
6,KSFID Loan Subsidy,farmers,loan_subsidy,Subsidy on agricultural loans for Telangana farmers,15000.0,subsidy,18,60,5_years_sc_st,500000.0,0.0,Telangana,,any,any,,,,,,,,,1.0,50.0,,True,True,"[""Aadhaar Card"", ""Land Documents"", ""Bank Loan Approval"", ""Income Certificate"", ""Kcc Loan Details""]","[]","[""Do you have an agricultural loan?"", ""What is your loan amount?"", ""What is your land area?""]","2026-12-31","once","https://ksfid.telangana.gov.in","Telangana State Govt","state_government",90,verified,2026-06-01,75000,"(loan_amount*0.5) + (land_area*0.3) + (income*0.2)","Farmer with KCC loan and land>=1 acre",0.82,82.0,"30_days_before_deadline","2026-01-01","2026-06-01"
7,Harit Goshti,farmers,financial_assistance,Telangana scheme for cattle purchase support,25000.0,subsidy,18,65,,200000.0,0.0,Telangana,,any,female,,,,,,,,,,False,False,"[""Aadhaar Card"", ""Income Certificate"", ""Bank Account"", ""Female Identity Proof""]","[]","[""Are you female?"", ""What is your annual income?"", ""Do you want to purchase cattle?""]","2026-12-31","once","https://telangana.gov.in/harit-goshti","Government of Telangana","state_government",88,verified,2026-06-01,45000,"(income*0.5) + (gender*0.5)","Female farmer with income<200k",0.78,78.0,"30_days_before_deadline","2026-01-01","2026-06-01"
8,NMDDC Horticulture Support,farmers,financial_support,Financial assistance for horticulture development,30000.0,subsidy,18,65,,300000.0,0.0,Telangana,,any,any,,,,,,2.0,50.0,mango,True,True,"[""Aadhaar Card"", ""Land Records"", ""Income Certificate"", ""Horticulture Plan""]","[]","[""Do you want to start horticulture?"", ""What is your land area?"", ""What crops do you plan?""]","2026-11-30","once","https://nmddc.gov.in","National Horticulture Board","central_government",85,verified,2026-06-01,30000,"(land_area*0.6) + (income*0.4)","Farmer with land>=2 acres for horticulture",0.75,75.0,"30_days_before_deadline","2026-01-01","2026-06-01"
9,SMAM (Soil Management),farmers,financial_assistance,Soil health management and testing support,5000.0,subsidy,0,99,,100000.0,0.0,Telangana,,any,any,,,,,,,,,0.5,20.0,,True,True,"[""Aadhaar Card"", ""Land Ownership Proof"", ""Bank Account""]","[]","[""Do you need soil testing?"", ""What is your land area?""]","2026-12-31","annual","https://soilhealth.dac.gov.in","Ministry of Agriculture","central_government",82,verified,2026-06-01,120000,"(land_area*0.7) + (income*0.3)","Farmer with land>=0.5 acres needing soil testing",0.70,70.0,"30_days_before_deadline","2026-01-01","2026-06-01"
10,Agri-Machinery Subsidy,farmers,subsidy,Subsidy on purchase of agricultural machinery,25000.0,subsidy,18,65,,300000.0,0.0,Telangana,,obc,any,,,,,,,,,1.0,30.0,,True,True,"[""Aadhaar Card"", ""Land Documents"", ""Income Certificate"", ""Machine Quote"", ""Bank Account""]","[]","[""What machinery do you want to buy?"", ""What is your land area?"", ""What is your income?""]","2026-10-31","once","https://amardac.gov.in","Ministry of Agriculture","central_government",87,verified,2026-06-01,65000,"(land_area*0.5) + (income*0.3) + (machine_type*0.2)","Farmer with land>=1 acre buying machinery",0.77,77.0,"30_days_before_deadline","2026-01-01","2026-06-01"
